rating,day_of_week,week_of_year,hour,month,yrs_to_review,lenDevResp,lenTitle,lenReview,ratings_per_yr_in_exist,app_rank_in_cat_per_yr_in_exist,BBB_complaints_per_yr_in_exist,BBB_complaints_per_BBB_review,len_review_per_len_title,Dev_resp_per_yr,DevLen_per_ReviewLen,ReviewLen_by_time_of_day,ReviewLen_by_day_of_week
5,6,15,21,4,7,0,23,511,94214.0,4.0,91.0,3.0,22.0,0.0,0.0,24.0,85.0
1,1,18,19,4,8,0,22,772,82438.0,4.0,80.0,3.0,35.0,0.0,0.0,41.0,772.0
5,5,49,20,12,8,0,53,474,82438.0,4.0,80.0,3.0,9.0,0.0,0.0,24.0,95.0
5,5,14,18,4,9,0,10,499,73278.0,3.0,71.0,3.0,50.0,0.0,0.0,28.0,100.0
2,3,13,16,3,8,0,36,686,82438.0,4.0,80.0,3.0,19.0,0.0,0.0,43.0,229.0
1,1,25,9,6,6,313,20,795,109917.0,5.0,106.0,3.0,40.0,52.0,0.0,88.0,795.0
5,6,5,18,2,9,0,44,455,73278.0,3.0,71.0,3.0,10.0,0.0,0.0,25.0,76.0
5,5,31,16,8,7,0,51,505,94214.0,4.0,91.0,3.0,10.0,0.0,0.0,32.0,101.0
1,4,39,23,9,8,0,12,766,82438.0,4.0,80.0,3.0,64.0,0.0,0.0,33.0,192.0
5,1,22,15,5,7,0,30,530,94214.0,4.0,91.0,3.0,18.0,0.0,0.0,35.0,530.0
5,7,26,2,6,8,0,19,606,82438.0,4.0,80.0,3.0,32.0,0.0,0.0,303.0,87.0
1,5,10,0,3,9,0,10,765,73278.0,3.0,71.0,3.0,76.0,0.0,0.0,inf,153.0
5,7,26,19,6,7,0,29,512,94214.0,4.0,91.0,3.0,18.0,0.0,0.0,27.0,73.0
5,2,1,17,1,7,0,14,501,94214.0,4.0,91.0,3.0,36.0,0.0,0.0,29.0,250.0
4,6,14,12,4,7,0,13,572,94214.0,4.0,91.0,3.0,44.0,0.0,0.0,48.0,95.0
5,1,25,21,6,6,0,28,572,109917.0,5.0,106.0,3.0,20.0,0.0,0.0,27.0,572.0
5,2,3,21,1,8,0,6,562,82438.0,4.0,80.0,3.0,94.0,0.0,0.0,27.0,281.0
5,1,47,15,11,6,0,4,470,109917.0,5.0,106.0,3.0,118.0,0.0,0.0,31.0,470.0
5,6,45,16,11,6,0,29,437,109917.0,5.0,106.0,3.0,15.0,0.0,0.0,27.0,73.0
5,1,43,2,10,6,0,17,469,109917.0,5.0,106.0,3.0,28.0,0.0,0.0,234.0,469.0
5,4,43,14,10,8,0,14,494,82438.0,4.0,80.0,3.0,35.0,0.0,0.0,35.0,124.0
5,2,47,19,11,6,0,16,492,109917.0,5.0,106.0,3.0,31.0,0.0,0.0,26.0,246.0
4,6,11,5,3,8,0,16,566,82438.0,4.0,80.0,3.0,35.0,0.0,0.0,113.0,94.0
5,7,31,14,8,8,0,19,558,82438.0,4.0,80.0,3.0,29.0,0.0,0.0,40.0,80.0
1,2,7,5,2,9,0,15,757,73278.0,3.0,71.0,3.0,50.0,0.0,0.0,151.0,378.0
5,7,20,12,5,8,0,6,566,82438.0,4.0,80.0,3.0,94.0,0.0,0.0,47.0,81.0
5,6,18,1,5,8,0,25,481,82438.0,4.0,80.0,3.0,19.0,0.0,0.0,481.0,80.0
5,5,50,2,12,6,0,21,498,109917.0,5.0,106.0,3.0,24.0,0.0,0.0,249.0,100.0
4,4,6,9,2,8,0,33,577,82438.0,4.0,80.0,3.0,17.0,0.0,0.0,64.0,144.0
5,3,7,13,2,8,0,19,493,82438.0,4.0,80.0,3.0,26.0,0.0,0.0,38.0,164.0
5,7,1,9,1,8,0,22,503,82438.0,4.0,80.0,3.0,23.0,0.0,0.0,56.0,72.0
5,2,5,16,1,7,0,21,516,94214.0,4.0,91.0,3.0,25.0,0.0,0.0,32.0,258.0
4,2,27,0,7,7,0,15,540,94214.0,4.0,91.0,3.0,36.0,0.0,0.0,inf,270.0
5,4,36,23,9,6,0,9,498,109917.0,5.0,106.0,3.0,55.0,0.0,0.0,22.0,124.0
5,5,3,20,1,6,0,14,557,109917.0,5.0,106.0,3.0,40.0,0.0,0.0,28.0,111.0
4,5,19,12,5,6,0,26,547,109917.0,5.0,106.0,3.0,21.0,0.0,0.0,46.0,109.0
5,2,2,1,1,8,0,30,494,82438.0,4.0,80.0,3.0,16.0,0.0,0.0,494.0,247.0
3,1,23,21,6,9,0,54,592,73278.0,3.0,71.0,3.0,11.0,0.0,0.0,28.0,592.0
3,6,39,4,9,8,0,12,582,82438.0,4.0,80.0,3.0,48.0,0.0,0.0,146.0,97.0
1,2,22,5,5,8,250,26,716,82438.0,4.0,80.0,3.0,28.0,31.0,0.0,143.0,358.0
5,2,31,17,7,6,0,14,896,109917.0,5.0,106.0,3.0,64.0,0.0,0.0,53.0,448.0
4,7,52,2,12,7,0,23,546,94214.0,4.0,91.0,3.0,24.0,0.0,0.0,273.0,78.0
